latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.36,132.546,307.8,1.1,1,2021-07-06,0135,T,24,6.0NRT,284.8,3.9,D
-12.411,132.703,310.7,1.1,1.1,2021-07-06,0135,T,58,6.0NRT,290.5,5.6,D
-12.413,132.713,311,1.1,1.1,2021-07-06,0135,T,58,6.0NRT,290.5,6,D
-12.188,131.02,322.5,1,1,2021-07-06,0135,T,59,6.0NRT,298.9,15.8,D
-12.419,132.582,315.3,1.1,1,2021-07-06,0135,T,66,6.0NRT,285.2,9.9,D
-12.486,132.79,313.1,1.1,1.1,2021-07-06,0135,T,64,6.0NRT,291.8,7.5,D
-12.287,131.193,320.1,1,1,2021-07-06,0135,T,75,6.0NRT,297,13,D
-12.288,131.202,319.4,1,1,2021-07-06,0135,T,74,6.0NRT,296.3,12.4,D
-12.521,132.827,319.9,1.1,1.1,2021-07-06,0135,T,75,6.0NRT,290,13.9,D
-12.515,132.614,327.3,1.1,1,2021-07-06,0135,T,82,6.0NRT,286.8,23.8,D
-12.525,132.612,355.4,1.1,1,2021-07-06,0135,T,98,6.0NRT,288.9,80.4,D
-12.526,132.622,328.4,1.1,1,2021-07-06,0135,T,83,6.0NRT,286.4,25.6,D
-12.753,134.307,310.7,1.4,1.2,2021-07-06,0135,T,62,6.0NRT,287.5,9.4,D
-12.345,131.15,352.5,1,1,2021-07-06,0135,T,96,6.0NRT,303.8,60.5,D
-12.346,131.159,317.7,1,1,2021-07-06,0135,T,53,6.0NRT,302.1,8.2,D
-12.579,132.274,308.8,1.1,1,2021-07-06,0135,T,51,6.0NRT,285.8,6.5,D
-12.595,132.393,319.2,1.1,1,2021-07-06,0135,T,74,6.0NRT,288.5,14.8,D
-12.408,131.013,317.4,1,1,2021-07-06,0135,T,52,6.0NRT,301.7,7.5,D
-12.623,132.521,307.7,1.1,1,2021-07-06,0135,T,37,6.0NRT,281.6,4.6,D
-12.417,131.012,318.2,1,1,2021-07-06,0135,T,58,6.0NRT,301.4,7.7,D
-12.655,132.227,314.5,1.1,1,2021-07-06,0135,T,67,6.0NRT,287.2,10.3,D
-12.718,132.208,309.4,1.1,1,2021-07-06,0135,T,54,6.0NRT,284,6.1,D
-12.72,132.103,307.8,1.1,1,2021-07-06,0135,T,39,6.0NRT,286.6,4.5,D
-12.729,132.171,309.5,1.1,1,2021-07-06,0135,T,43,6.0NRT,286.8,5.8,D
-12.583,131.012,318,1,1,2021-07-06,0135,T,70,6.0NRT,299.4,9.4,D
-12.584,131.021,324.5,1,1,2021-07-06,0135,T,78,6.0NRT,300.5,15.9,D
-12.744,132.139,308.6,1.1,1,2021-07-06,0135,T,48,6.0NRT,287.5,5.4,D
-12.745,132.149,310.5,1.1,1,2021-07-06,0135,T,45,6.0NRT,287.5,6.3,D
-12.75,132.049,320.7,1.1,1,2021-07-06,0135,T,76,6.0NRT,291.7,14.6,D
-12.635,130.802,334.8,1,1,2021-07-06,0135,T,86,6.0NRT,304.7,26.7,D
-12.636,130.811,319.5,1,1,2021-07-06,0135,T,50,6.0NRT,303.6,7.7,D
